id,name,rating,genre,year,director,star,company,runtime
15310,The Jazz Singer,PG,Drama,1980,Richard Fleischer,Laurence Olivier,EMI Films,115.0
16769,Coal Miner's Daughter,PG,Biography,1980,Michael Apted,Sissy Spacek,Universal Pictures,124.0
21970,The Watcher in the Woods,PG,Family,1980,John Hough,Bette Davis,Walt Disney Productions,84.0
13783,Breaker Morant,PG,Drama,1980,Bruce Beresford,Edward Woodward,The South Australian Film Corporation,107.0
42160,The Stunt Man,R,Action,1980,Richard Rush,Peter O'Toole,Melvin Simon Productions,131.0
13005,Where the Buffalo Roam,R,Biography,1980,Art Linson,Peter Boyle,Universal Pictures,99.0
39176,The Awakening,R,Horror,1980,Mike Newell,Charlton Heston,EMI Films,101.0
13612,Cheech and Chong's Next Movie,R,Comedy,1980,Tommy Chong,Cheech Marin,Universal Pictures,99.0
7988,The Island,R,Action,1980,Michael Ritchie,Michael Caine,Universal Pictures,109.0
40220,The Boogey Man,R,Horror,1980,Ulli Lommel,Suzanna Love,The Jerry Gross Organization,82.0
26200,The Nude Bomb,PG,Action,1980,Clive Donner,Don Adams,Universal Pictures,94.0
26843,Lion of the Desert,PG,Biography,1980,Moustapha Akkad,Anthony Quinn,Falcon International Productions,173.0
11337,Stardust Memories,PG,Comedy,1980,Woody Allen,Woody Allen,Jack Rollins & Charles H. Joffe Productions,89.0
38772,Melvin and Howard,R,Comedy,1980,Jonathan Demme,Paul Le Mat,Universal Pictures,95.0
40932,Can't Stop the Music,PG,Biography,1980,Nancy Walker,Ray Simpson,EMI Films,124.0
21866,Bronco Billy,PG,Action,1980,Clint Eastwood,Clint Eastwood,Warner Bros.,116.0
11936,City of Women,R,Comedy,1980,Federico Fellini,Marcello Mastroianni,Opera Film Produzione,139.0
13762,The Private Eyes,PG,Comedy,1980,Lang Elliott,Tim Conway,Tri Star Productions,91.0
47942,When Time Ran Out...,PG,Action,1980,James Goldstone,Paul Newman,International Cinema,121.0
26179,Oh Heavenly Dog,PG,Comedy,1980,Joe Camp,Chevy Chase,Mulberry Square Productions,103.0
24825,The Octagon,R,Action,1980,Eric Karson,Chuck Norris,American Cinema Productions,103.0
54287,Hangar 18,PG,Sci-Fi,1980,James L. Conway,Darren McGavin,Sunn Classic Pictures,97.0
12129,Herbie Goes Bananas,G,Adventure,1980,Vincent McEveety,Charles Martin Smith,Walt Disney Productions,100.0
42158,The Competition,PG,Drama,1980,Joel Oliansky,Richard Dreyfuss,Rastar Films,123.0
214181,It's My Turn,R,Comedy,1980,Claudia Weill,Jill Clayburgh,Rastar Films,91.0
22288,Honeysuckle Rose,PG,Drama,1980,Jerry Schatzberg,Willie Nelson,Major Studio Partners,119.0
98864,Resurrection,PG,Drama,1980,Daniel Petrie,Ellen Burstyn,Universal Pictures,103.0
38922,Fatso,PG,Comedy,1980,Anne Bancroft,Dom DeLuise,Brooksfilms,93.0
21028,Moscow Does Not Believe in Tears,PG,Comedy,1980,Vladimir Menshov,Vera Alentova,Mosfilm,150.0
3486,The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,Piers Haggard,Peter Sellers,Braun Entertainment Group,100.0
41034,Serial,R,Comedy,1980,Bill Persky,Martin Mull,Paramount Pictures,86.0
44004,Hero at Large,PG,Comedy,1980,Martin Davidson,John Ritter,Kings Road Entertainment,98.0
33076,Wholly Moses!,PG,Comedy,1980,Gary Weis,Dudley Moore,Columbia Pictures,103.0
31112,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,Bill Melendez,Scott Beach,Lee Mendelson Film Productions,75.0
21024,Roadie,PG,Comedy,1980,Alan Rudolph,Meat Loaf,Alive Enterprises,106.0
184799,Just Tell Me What You Want,R,Comedy,1980,Sidney Lumet,Ali MacGraw,Warner Bros.,112.0
35101,The Last Flight of Noah's Ark,G,Adventure,1980,Charles Jarrott,Elliott Gould,Walt Disney Productions,97.0
47876,Little Miss Marker,PG,Comedy,1980,Walter Bernstein,Walter Matthau,Universal Pictures,103.0
92323,Willie & Phil,R,Comedy,1980,Paul Mazursky,Michael Ontkean,Twentieth Century Fox,115.0
85548,Windwalker,PG,Adventure,1980,Kieth Merrill,Trevor Howard,Santa Fe International,108.0
73354,Phobia,R,Drama,1980,John Huston,Paul Michael Glaser,Borough Park Productions,94.0
83857,Windows,R,Drama,1980,Gordon Willis,Talia Shire,Mike Lobell Productions,96.0
242758,Loving Couples,PG,Comedy,1980,Jack Smight,Shirley MacLaine,Time Life Films,97.0
22504,The King and the Mockingbird,Not Rated,Animation,1980,Paul Grimault,Jean Martin,Les Films Paul Grimault,83.0
38147,"Oh, God! Book II",PG,Comedy,1980,Gilbert Cates,George Burns,Warner Bros.,94.0
99796,"Those Lips, Those Eyes",R,Comedy,1980,Michael Pressman,Frank Langella,Herb Jaffe,105.0
11684,La Cage aux Folles II,R,Comedy,1980,Édouard Molinaro,Michel Serrault,Da.Ma. Cinematografica,102.0
83802,The Gong Show Movie,R,Comedy,1980,Chuck Barris,Chuck Barris,Chuck Barris Productions,89.0
97415,Gilda Live,R,Comedy,1980,Mike Nichols,Gilda Radner,Broadway Productions,96.0
267444,Why Would I Lie?,PG,Comedy,1980,Larry Peerce,Treat Williams,Metro-Goldwyn-Mayer (MGM),105.0
124210,First Family,R,Comedy,1980,Buck Henry,Bob Newhart,F.F. Associates,97.0
85,Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,Steven Spielberg,Harrison Ford,Paramount Pictures,115.0
14412,Body Heat,R,Crime,1981,Lawrence Kasdan,William Hurt,The Ladd Company,113.0
814,An American Werewolf in London,R,Comedy,1981,John Landis,David Naughton,Polygram Pictures,97.0
1103,Escape from New York,R,Action,1981,John Carpenter,Kurt Russell,AVCO Embassy Pictures,99.0
764,The Evil Dead,NC-17,Horror,1981,Sam Raimi,Bruce Campbell,Renaissance Pictures,85.0
10246,Porky's,R,Comedy,1981,Bob Clark,Dan Monahan,Astral Bellevue Pathé,94.0
11644,Blow Out,R,Crime,1981,Brian De Palma,John Travolta,Filmways Pictures,108.0
10323,Clash of the Titans,PG,Action,1981,Desmond Davis,Laurence Olivier,Charles H. Schneer Productions,118.0
11527,Excalibur,R,Adventure,1981,John Boorman,Nigel Terry,Cinema '84,140.0
8810,Mad Max 2,R,Action,1981,George Miller,Mel Gibson,Kennedy Miller Productions,96.0
10890,Stripes,R,Comedy,1981,Ivan Reitman,Bill Murray,Columbia Pictures,106.0
21484,Possession,R,Drama,1981,Andrzej Zulawski,Isabelle Adjani,Gaumont,124.0
11286,The Cannonball Run,PG,Action,1981,Hal Needham,Burt Reynolds,Golden Harvest Company,95.0
11524,Thief,R,Action,1981,Michael Mann,James Caan,Mann/Caan Productions,123.0
19114,Endless Love,R,Drama,1981,Franco Zeffirelli,Brooke Shields,PolyGram Filmed Entertainment,116.0
36819,Time Bandits,PG,Adventure,1981,Terry Gilliam,Sean Connery,HandMade Films,110.0
25113,The Four Seasons,PG,Comedy,1981,Alan Alda,Alan Alda,Universal Pictures,107.0
9725,Friday the 13th Part 2,R,Horror,1981,Steve Miner,Betsy Palmer,Georgetown Productions Inc.,87.0
9538,Scanners,R,Horror,1981,David Cronenberg,Jennifer O'Neill,Canadian Film Development Corporation (CFDC),103.0
699,For Your Eyes Only,PG,Action,1981,John Glen,Roger Moore,Eon Productions,127.0
11281,Halloween II,R,Horror,1981,Rick Rosenthal,Jamie Lee Curtis,Dino De Laurentiis Company,92.0
10627,Taps,PG,Drama,1981,Harold Becker,George C. Scott,Major Studio Partners,126.0
18254,Reds,PG,Biography,1981,Warren Beatty,Warren Beatty,Barclays Mercantile Industrial Finance,195.0
11816,On Golden Pond,PG,Drama,1981,Mark Rydell,Katharine Hepburn,IPC Films,109.0
10948,The Fox and the Hound,G,Animation,1981,Directors,Mickey Rooney,Walt Disney Animation Studios,83.0
9443,Chariots of Fire,PG,Biography,1981,Hugh Hudson,Ben Cross,Enigma Productions,125.0
19429,Absence of Malice,PG,Drama,1981,Sydney Pollack,Paul Newman,Columbia Pictures,116.0
26325,Tarzan the Ape Man,Approved,Adventure,1981,John Derek,Bo Derek,Metro-Goldwyn-Mayer (MGM),115.0
17360,Victory,PG,Drama,1981,John Huston,Michael Caine,Lorimar Film Entertainment,116.0
13665,Arthur,PG,Comedy,1981,Steve Gordon,Dudley Moore,Orion Pictures,97.0
25468,My Dinner with Andre,PG,Biography,1981,Louis Malle,Andre Gregory,Saga Productions Inc.,110.0
18905,Caveman,PG,Comedy,1981,Carl Gottlieb,Ringo Starr,Estudios Churubusco Azteca S.A.,91.0
24274,Dead & Buried,R,Horror,1981,Gary Sherman,James Farentino,Aspen Productions (I),94.0
10156,History of the World: Part I,R,Comedy,1981,Mel Brooks,Mel Brooks,Brooksfilms,92.0
11298,The Howling,R,Horror,1981,Joe Dante,Dee Wallace,Embassy Pictures,91.0
848,Dragonslayer,PG,Action,1981,Matthew Robbins,Peter MacNicol,Paramount Pictures,109.0
31593,Cutter's Way,R,Crime,1981,Ivan Passer,Jeff Bridges,Gurian Entertainment,109.0
62204,Quest for Fire,R,Adventure,1981,Jean-Jacques Annaud,Everett McGill,International Cinema Corporation (ICC),100.0
10768,The Final Conflict,R,Horror,1981,Graham Baker,Sam Neill,Twentieth Century Fox,108.0
15660,Mommie Dearest,R,Biography,1981,Frank Perry,Faye Dunaway,Paramount Pictures,129.0
41280,Private Lessons,R,Comedy,1981,Alan Myerson,Sylvia Kristel,Barry & Enright Productions,87.0
11027,The Postman Always Rings Twice,R,Crime,1981,Bob Rafelson,Jack Nicholson,CIP Filmproduktion GmbH,122.0
25566,Ragtime,PG,Drama,1981,Milos Forman,James Cagney,Dino De Laurentiis Company,155.0
33016,Deadly Blessing,R,Horror,1981,Wes Craven,Maren Jensen,PolyGram Filmed Entertainment,100.0
31679,Eyewitness,R,Crime,1981,Peter Yates,William Hurt,Twentieth Century Fox,103.0
11646,Gallipoli,PG,Adventure,1981,Peter Weir,Mel Gibson,R&R Films,110.0
10540,Outland,R,Action,1981,Peter Hyams,Sean Connery,The Ladd Company,109.0
12528,Southern Comfort,R,Action,1981,Walter Hill,Keith Carradine,Cinema Group Ventures,106.0
27225,S.O.B.,R,Comedy,1981,Blake Edwards,Julie Andrews,Artista Management,122.0
14460,The Beyond,R,Horror,1981,Lucio Fulci,Catriona MacColl,Fulvia Film,87.0
24634,Ghost Story,R,Drama,1981,John Irvin,Craig Wasson,Universal Pictures,110.0
39874,My Bloody Valentine,R,Horror,1981,George Mihalka,Paul Kelman,Canadian Film Development Corporation (CFDC),90.0
13555,The Funhouse,R,Horror,1981,Tobe Hooper,Elizabeth Berridge,Universal Pictures,96.0
41291,One from the Heart,R,Drama,1981,Francis Ford Coppola,Frederic Forrest,Zoetrope Studios,107.0
12537,The French Lieutenant's Woman,R,Drama,1981,Karel Reisz,Meryl Streep,Juniper Films,124.0
14900,The Great Muppet Caper,G,Adventure,1981,Jim Henson,Jim Henson,Henson Associates (HA),97.0
32077,True Confessions,R,Crime,1981,Ulu Grosbard,Robert De Niro,Chartoff-Winkler Productions,108.0
21874,Looker,PG,Drama,1981,Michael Crichton,Albert Finney,The Ladd Company,93.0
21610,Nighthawks,R,Action,1981,Bruce Malmuth,Sylvester Stallone,Universal Pictures,99.0
20075,Nice Dreams,R,Comedy,1981,Tommy Chong,Cheech Marin,C & C Brown Production,88.0
14664,Sharky's Machine,R,Action,1981,Burt Reynolds,Burt Reynolds,Deliverance Productions,122.0
19507,Neighbors,R,Comedy,1981,John G. Avildsen,John Belushi,Columbia Pictures,94.0
14630,Puberty Blues,R,Comedy,1981,Bruce Beresford,Nell Schofield,Limelight Productions (II),87.0
10863,Eye of the Needle,R,Romance,1981,Richard Marquand,Donald Sutherland,Kings Road Entertainment,112.0
10725,Wolfen,R,Horror,1981,Michael Wadleigh,Albert Finney,Orion Pictures,115.0
21515,Student Bodies,R,Comedy,1981,Mickey Rose,Kristen Riter,Allen Smithee Classic Films,86.0
32047,Prince of the City,R,Crime,1981,Sidney Lumet,Treat Williams,Orion Pictures,167.0
42149,The Hand,R,Drama,1981,Oliver Stone,Michael Caine,Orion Pictures,104.0
26560,Continental Divide,PG,Comedy,1981,Michael Apted,John Belushi,Universal Pictures,103.0
4485,Diva,R,Music,1981,Jean-Jacques Beineix,Wilhelmenia Fernandez,Les Films Galaxie,117.0
30789,Venom,R,Horror,1981,Piers Haggard,Klaus Kinski,Morison Film Group,92.0
23668,Fort Apache the Bronx,R,Crime,1981,Daniel Petrie,Paul Newman,Time Life Films,125.0
79649,Eyes of a Stranger,R,Horror,1981,Ken Wiederhorn,Lauren Tewes,Georgetown Productions Inc.,84.0
19317,Zorro: The Gay Blade,PG,Action,1981,Peter Medak,George Hamilton,Melvin Simon Productions,93.0
47941,Under the Rainbow,PG,Comedy,1981,Steve Rash,Chevy Chase,Innovisions,98.0
53922,Carbon Copy,PG,Comedy,1981,Michael Schultz,George Segal,DeHaven/Shapiro Productions,92.0
12472,The Incredible Shrinking Woman,PG,Comedy,1981,Joel Schumacher,Lily Tomlin,Lija Productions,88.0
75596,The Night the Lights Went Out in Georgia,PG,Drama,1981,Ron Maxwell,Kristy McNichol,Viacom Enterprises,112.0
67022,Quartet,R,Drama,1981,James Ivory,Isabelle Adjani,Merchant Ivory Productions,101.0
27420,Graduation Day,R,Horror,1981,Herb Freed,Christopher George,Baughn/Freed Productions,96.0
16471,Modern Problems,PG,Comedy,1981,Ken Shapiro,Chevy Chase,Twentieth Century Fox,93.0
17450,Pennies from Heaven,R,Drama,1981,Herbert Ross,Steve Martin,Metro-Goldwyn-Mayer (MGM),108.0
29204,American Pop,R,Animation,1981,Ralph Bakshi,Mews Small,Bakshi Productions,96.0
38665,The Legend of the Lone Ranger,PG,Action,1981,William A. Fraker,Klinton Spilsbury,Eaves Movie Ranch,98.0
47890,Sphinx,PG,Adventure,1981,Franklin J. Schaffner,Lesley-Anne Down,Orion Pictures,118.0
54118,Night School,R,Horror,1981,Ken Hughes,Leonard Mann,Lorimar Productions,88.0
42566,An Eye for an Eye,R,Action,1981,Steve Carver,Chuck Norris,Adams Apple Film Company,106.0
76397,Zoot Suit,R,Drama,1981,Luis Valdez,Daniel Valdez,Universal Pictures,103.0
109962,Rich and Famous,R,Drama,1981,George Cukor,Jacqueline Bisset,Jaquet,117.0
36133,Buddy Buddy,R,Comedy,1981,Billy Wilder,Jack Lemmon,Heron Productions,96.0
31361,Bustin' Loose,R,Comedy,1981,Oz Scott,Richard Pryor,Universal Pictures,94.0
63443,Modern Romance,R,Comedy,1981,Albert Brooks,Albert Brooks,Columbia Pictures,93.0
73247,Heartbeeps,PG,Comedy,1981,Allan Arkush,Andy Kaufman,Universal Pictures,78.0
61653,Back Roads,R,Adventure,1981,Martin Ritt,Sally Field,CBS Theatrical Films,94.0
42371,Take This Job and Shove It,PG,Comedy,1981,Gus Trikonis,Robert Hays,Cinema Group Ventures,100.0
96966,Raggedy Man,R,Drama,1981,Jack Fisk,Sissy Spacek,Universal Pictures,94.0
31695,Whose Life Is It Anyway?,R,Comedy,1981,John Badham,Richard Dreyfuss,Metro-Goldwyn-Mayer (MGM),119.0
445608,Inchon,PG,Drama,1981,Terence Young,Laurence Olivier,One Way Productions,140.0
140413,All Night Long,R,Comedy,1981,Jean-Claude Tramont,Gene Hackman,Universal Pictures,87.0
45226,The Pursuit of D.B. Cooper,PG,Adventure,1981,Roger Spottiswoode,Robert Duvall,PolyGram Pictures,100.0
47888,Rollover,R,Drama,1981,Alan J. Pakula,Jane Fonda,IPC Films,116.0
42146,Only When I Laugh,R,Comedy,1981,Glenn Jordan,Marsha Mason,Columbia Pictures,120.0
47871,Honky Tonk Freeway,PG,Action,1981,John Schlesinger,David Rasche,EMI Films,107.0
54660,Paternity,PG,Comedy,1981,David Steinberg,Burt Reynolds,Paramount Pictures,94.0
75048,King of the Mountain,PG,Action,1981,Noel Nosseck,Harry Hamlin,PolyGram Pictures,90.0
85191,Scream,R,Horror,1981,Byron Quisenberry,Pepper Martin,Calendar International Pictures,82.0
40866,The Devil and Max Devlin,PG,Comedy,1981,Steven Hilliard Stern,Elliott Gould,Walt Disney Productions,96.0
21294,The Amateur,R,Crime,1981,Charles Jarrott,John Savage,Balkan Productions,112.0
323048,Longshot,TV-PG,Comedy,1981,E.W. Swackhamer,Leif Garrett,Greentree,100.0
83007,Comin' at Ya!,R,Western,1981,Ferdinando Baldi,Tony Anthony,Lupo-Anthony-Quintano Productions,91.0
59484,Le Pont du Nord,Not Rated,Adventure,1981,Jacques Rivette,Bulle Ogier,Les Films du Losange,129.0
293483,Silence of the North,PG,Drama,1981,Allan King,Ellen Burstyn,Universal Pictures,94.0
13342,Fast Times at Ridgemont High,R,Comedy,1982,Amy Heckerling,Sean Penn,Universal Pictures,90.0
78,Blade Runner,R,Action,1982,Ridley Scott,Harrison Ford,The Ladd Company,117.0
1091,The Thing,R,Horror,1982,John Carpenter,Kurt Russell,Universal Pictures,109.0
9387,Conan the Barbarian,R,Action,1982,John Milius,Arnold Schwarzenegger,Universal Pictures,129.0
601,E.T. the Extra-Terrestrial,PG,Family,1982,Steven Spielberg,Henry Thomas,Universal Pictures,115.0
1368,First Blood,R,Action,1982,Ted Kotcheff,Sylvester Stallone,Anabasis N.V.,93.0
2623,An Officer and a Gentleman,R,Drama,1982,Taylor Hackford,Richard Gere,Lorimar Film Entertainment,124.0
9037,Grease 2,PG,Comedy,1982,Patricia Birch,Michelle Pfeiffer,Paramount Pictures,115.0
15739,Annie,PG,Comedy,1982,John Huston,Aileen Quinn,Columbia Pictures,127.0
609,Poltergeist,PG,Horror,1982,Tobe Hooper,JoBeth Williams,Metro-Goldwyn-Mayer (MGM),114.0
150,48 Hrs.,R,Action,1982,Walter Hill,Nick Nolte,Paramount Pictures,96.0
154,Star Trek II: The Wrath of Khan,PG,Action,1982,Nicholas Meyer,William Shatner,Paramount Pictures,113.0
23942,Paradise,R,Adventure,1982,Stuart Gillard,Willie Aames,Embassy Pictures,100.0
27088,The Last American Virgin,R,Comedy,1982,Boaz Davidson,Lawrence Monoson,Cannon Group,92.0
15764,Sophie's Choice,R,Drama,1982,Alan J. Pakula,Meryl Streep,Incorporated Television Company (ITC),150.0
783,Gandhi,PG,Biography,1982,Richard Attenborough,Ben Kingsley,International Film Investors,191.0
9576,Tootsie,PG,Comedy,1982,Sydney Pollack,Dustin Hoffman,Columbia Pictures,116.0
97,Tron,PG,Action,1982,Steven Lisberger,Jeff Bridges,Walt Disney Productions,96.0
11704,The Secret of NIMH,G,Animation,1982,Don Bluth,Elizabeth Hartman,Aurora,82.0
262,The King of Comedy,PG,Comedy,1982,Martin Scorsese,Robert De Niro,Embassy International Pictures,109.0
1371,Rocky III,PG,Drama,1982,Sylvester Stallone,Sylvester Stallone,Chartoff-Winkler Productions,99.0
16441,The Beastmaster,PG,Action,1982,Don Coscarelli,Marc Singer,Leisure Investment Company,118.0
16281,Creepshow,R,Comedy,1982,George A. Romero,Hal Holbrook,United Film Distribution Company (UFDC),120.0
24266,The Man from Snowy River,PG,Adventure,1982,George Miller,Kirk Douglas,Cambridge Productions,102.0
12104,Pink Floyd: The Wall,R,Drama,1982,Alan Parker,Bob Geldof,Goldcrest Films International,95.0
6217,Cat People,R,Fantasy,1982,Paul Schrader,Nastassja Kinski,RKO Pictures,118.0
5961,Fanny and Alexander,R,Drama,1982,Ingmar Bergman,Bertil Guve,Cinematograph AB,188.0
9728,Friday the 13th Part III,R,Horror,1982,Steve Miner,Dana Kimmell,Paramount Pictures,95.0
10724,Firefox,PG,Action,1982,Clint Eastwood,Clint Eastwood,Major Studio Partners,136.0
10676,Halloween III: Season of the Witch,R,Horror,1982,Tommy Lee Wallace,Tom Atkins,Dino De Laurentiis Company,98.0
11639,The Dark Crystal,PG,Adventure,1982,Jim Henson,Jim Henson,Incorporated Television Company (ITC),93.0
24226,The Verdict,R,Drama,1982,Sidney Lumet,Paul Newman,Twentieth Century Fox,129.0
47886,Pieces,Not Rated,Horror,1982,Juan Piquer Simón,Christopher George,Almena Films,85.0
23943,Zapped!,R,Comedy,1982,Robert J. Rosenthal,Scott Baio,Embassy Pictures,98.0
46925,Six Pack,PG,Comedy,1982,Daniel Petrie,Kenny Rogers,Twentieth Century Fox,108.0
11307,The World According to Garp,R,Comedy,1982,George Roy Hill,Robin Williams,Pan Arts,136.0
13776,Diner,R,Comedy,1982,Barry Levinson,Steve Guttenberg,Metro-Goldwyn-Mayer (MGM),110.0
16363,The Best Little Whorehouse in Texas,R,Comedy,1982,Colin Higgins,Burt Reynolds,Universal Pictures,114.0
11541,The Year of Living Dangerously,PG,Drama,1982,Peter Weir,Mel Gibson,Metro-Goldwyn-Mayer (MGM),115.0
14742,Night Shift,R,Comedy,1982,Ron Howard,Henry Winkler,Major Studio Partners,106.0
19415,Summer Lovers,R,Comedy,1982,Randal Kleiser,Peter Gallagher,Filmways Pictures,98.0
12614,Victor Victoria,PG,Comedy,1982,Blake Edwards,Julie Andrews,Metro-Goldwyn-Mayer (MGM),134.0
10150,The Last Unicorn,G,Animation,1982,Jules Bass,Jeff Bridges,Rankin/Bass Productions,92.0
24740,The Entity,R,Drama,1982,Sidney J. Furie,Barbara Hershey,American Cinema Productions,125.0
2665,Airplane II: the Sequel,PG,Comedy,1982,Ken Finkleman,Robert Hays,Paramount Pictures,85.0
23805,The Toy,PG,Comedy,1982,Richard Donner,Richard Pryor,Columbia Pictures,102.0
40229,The House on Sorority Row,R,Horror,1982,Mark Rosman,Kate McNeil,VAE Productions,91.0
4193,Evil Under the Sun,PG,Crime,1982,Guy Hamilton,Peter Ustinov,EMI Films,117.0
13945,The Sword and the Sorcerer,R,Action,1982,Albert Pyun,Lee Horsley,Sorcerer Productions,99.0
14373,Death Wish II,R,Action,1982,Michael Winner,Charles Bronson,Golan-Globus Productions,89.0
27150,Silent Rage,R,Action,1982,Michael Miller,Chuck Norris,Columbia Pictures,103.0
27380,Megaforce,PG,Action,1982,Hal Needham,Barry Bostwick,Golden Harvest Company,99.0
27609,Personal Best,R,Drama,1982,Robert Towne,Mariel Hemingway,The Geffen Company,128.0
9442,Dead Men Don't Wear Plaid,PG,Comedy,1982,Carl Reiner,Steve Martin,Aspen Film Society,88.0
16235,Amityville II: The Possession,R,Horror,1982,Damiano Damiani,James Olson,Dino De Laurentiis Company,104.0
15600,Missing,PG,Biography,1982,Costa-Gavras,Jack Lemmon,PolyGram Filmed Entertainment,122.0
3526,Frances,R,Biography,1982,Graeme Clifford,Jessica Lange,Brooksfilms,140.0
30038,The Seduction,R,Thriller,1982,David Schmoeller,Morgan Fairchild,The Romantic Venture,104.0
25297,Cannery Row,PG,Comedy,1982,David S. Ward,Nick Nolte,Chai Productions,120.0
17590,Deathtrap,PG,Comedy,1982,Sidney Lumet,Michael Caine,Warner Bros.,116.0
27332,Tex,PG,Drama,1982,Tim Hunter,Matt Dillon,Walt Disney Productions,103.0
30049,Time Walker,PG,Horror,1982,Tom Kennedy,Ben Murphy,Byzantine Productions,83.0
37191,"I, the Jury",R,Crime,1982,Richard T. Heffron,Armand Assante,American Cinema Productions,111.0
48249,Tempest,PG,Comedy,1982,Paul Mazursky,John Cassavetes,Columbia Pictures,140.0
47947,Young Doctors in Love,R,Comedy,1982,Garry Marshall,Michael McKean,ABC Motion Pictures,96.0
31044,My Favorite Year,PG,Comedy,1982,Richard Benjamin,Peter O'Toole,Metro-Goldwyn-Mayer (MGM),92.0
32048,Still of the Night,PG,Crime,1982,Robert Benton,Roy Scheider,United Artists,93.0
48311,Parasite,R,Horror,1982,Charles Band,Robert Glaudini,Embassy Pictures,85.0
41913,Making Love,R,Drama,1982,Arthur Hiller,Michael Ontkean,IndieProd Company Productions,113.0
37917,Honkytonk Man,PG,Comedy,1982,Clint Eastwood,Clint Eastwood,The Malpaso Company,122.0
40219,The Beast Within,R,Horror,1982,Philippe Mora,Ronny Cox,Katzka,98.0
